feature,importance
numeric__avg_queue_wait_seconds_rolling_6h,0.05975307012628214
numeric__total_cpu_time_rolling_6h,0.05526268088316733
numeric__avg_queue_wait_seconds,0.05053615795904534
numeric__avg_queue_wait_seconds_lag_1h,0.050141818162498686
numeric__avg_cpu_user_ratio,0.04834831800473314
numeric__avg_cpu_time_per_proc,0.04613616392484967
numeric__median_queue_wait_seconds,0.045976025279606064
numeric__cpu_time_share_system,0.04577125576028192
numeric__total_cpu_system_time,0.044349602827261296
numeric__dominant_hour_of_day,0.043145522101786134
numeric__total_cpu_user_time,0.04290573363014918
numeric__avg_requested_procs,0.04272618180088447
numeric__total_cpu_time_lag_1h,0.042625914721901
numeric__total_cpu_time,0.041568559228971916
numeric__job_count_rolling_6h,0.03453973934112513
numeric__max_requested_procs,0.034164447077644364
numeric__dominant_day_of_week,0.027548672894782193
numeric__unique_users_rolling_6h,0.018447763831502782
numeric__avg_requested_procs_per_node,0.014563679755515545
numeric__job_count_lag_1h,0.014088382751831057
categorical__node_0,0.013999254804845103
numeric__finished_jobs,0.013401721099610917
numeric__syskill_jobs,0.013071969698515406
numeric__job_count,0.011915702494902447
numeric__weekend_jobs,0.00978930713110958
numeric__killed_jobs,0.007922081103189569
numeric__unique_users_lag_1h,0.007130961723406214
numeric__unique_users,0.006363169963869198
categorical__node_224,0.004189654474345562
numeric__aborted_jobs,0.0036131197162092192
categorical__node_139,0.003573138574779407
categorical__node_230,0.0025323376823294407
categorical__node_192,0.002496887135417025
numeric__other_status_jobs,0.002456109636429698
numeric__aborted_job_ratio,0.0024135449048291414
categorical__node_79,0.0023411217663634816
categorical__node_177,0.0021260511122902217
categorical__node_161,0.001966349763273495
categorical__node_82,0.0019485799708607282
categorical__node_93,0.0018918286087154026
numeric__failed_jobs,0.0017673061304025683
categorical__node_162,0.001671550346866834
categorical__node_123,0.001553684023604378
categorical__node_1,0.0015208483228568476
categorical__node_64,0.0014958951125431136
numeric__failed_job_ratio,0.0012927429652699182
categorical__node_89,0.0012729656362445935
categorical__node_206,0.0012063901688794888
categorical__node_237,0.0011094484374408404
categorical__node_80,0.0011011287569936468
categorical__node_9,0.0010908764153034316
categorical__node_100,0.0010798877147411361
categorical__node_73,0.0010571764173269733
categorical__node_220,0.001049283449678337
categorical__node_218,0.0010255733400652792
categorical__node_2,0.0010243293844114849
categorical__node_17,0.0009884374214207427
categorical__node_19,0.0009802200609279096
categorical__node_76,0.0009681641497978652
categorical__node_109,0.0009668123874999219
categorical__node_97,0.000946821272090619
categorical__node_35,0.0009269594376583147
categorical__node_231,0.0008904262983382345
categorical__node_65,0.0008835170984925082
categorical__node_151,0.0008819783787824052
categorical__node_48,0.0008748056914438049
categorical__node_61,0.0008728770631812421
categorical__node_217,0.0008224484217007581
categorical__node_112,0.0008172665539213586
categorical__node_234,0.0008072488853184172
categorical__node_84,0.0007892411611946944
categorical__node_187,0.00078690258479554
categorical__node_197,0.0007822358873732405
categorical__node_141,0.0007578166431842063
categorical__node_4,0.0007570815776600505
categorical__node_34,0.0007334851144771649
categorical__node_173,0.0007294193385011989
categorical__node_157,0.0007287127766447807
categorical__node_214,0.0007188633309277258
categorical__node_169,0.0007107519555935585
categorical__node_120,0.0006986253080762243
categorical__node_7,0.0006917051414887055
categorical__node_219,0.0006856195421011861
categorical__node_33,0.0006805827591727995
categorical__node_194,0.0006754568983418208
categorical__node_152,0.0006659733978455529
categorical__node_71,0.0006646844699661259
categorical__node_3,0.0006645725537713208
categorical__node_99,0.0006643782581226783
categorical__node_191,0.0006611260911348543
categorical__node_70,0.0006589771328656076
categorical__node_153,0.0006585370888890127
categorical__node_178,0.0006583579429839369
categorical__node_77,0.0006538595848538579
categorical__node_172,0.000644373183813217
categorical__node_142,0.0006384665778947165
categorical__node_215,0.0006296831863638919
categorical__node_59,0.0006274107909414531
categorical__node_245,0.0006191240813829009
categorical__node_8,0.0005971726882964801
categorical__node_241,0.000584043334822469
categorical__node_171,0.0005662781811718097
categorical__node_125,0.0005610606440807879
categorical__node_144,0.0005563887975268996
categorical__node_66,0.0005434699991219859
categorical__node_6,0.0005387712880852372
categorical__node_53,0.0005267553663191485
categorical__node_148,0.0005220748794279615
categorical__node_56,0.0005182280629137727
categorical__node_40,0.0005171703553540002
categorical__node_136,0.0005154415850998357
categorical__node_87,0.0005102695784680669
categorical__node_205,0.0005064922571295748
categorical__node_140,0.0004973463822060372
categorical__node_110,0.0004788534034396831
categorical__node_32,0.00046060215003447855
categorical__node_102,0.0004603583393132298
categorical__node_253,0.00046034811694481247
categorical__node_96,0.00046017351153945584
categorical__node_160,0.000451450325595483
categorical__node_90,0.00044314259632435133
categorical__node_11,0.0004360522881001496
categorical__node_44,0.0004233229014250285
categorical__node_229,0.0004204552840130099
categorical__node_183,0.0004004638852383311
categorical__node_147,0.00038413856854846966
categorical__node_167,0.0003747064186430737
categorical__node_94,0.00037326964475199086
categorical__node_128,0.0003726961366925295
categorical__node_108,0.00036950892323803566
categorical__node_223,0.00036849100712788794
categorical__node_163,0.00036634646176307676
categorical__node_104,0.0003657894895526781
categorical__node_86,0.00036134726445801526
categorical__node_211,0.0003599260202844227
categorical__node_129,0.0003581171596381612
categorical__node_91,0.00035467457268204314
categorical__node_226,0.00035454729147529966
categorical__node_210,0.00035167030776338384
categorical__node_154,0.00034877319651272507
categorical__node_185,0.0003480077126021422
categorical__node_137,0.0003435233644083436
categorical__node_200,0.00033555289310510243
categorical__node_10,0.0003335249197612361
categorical__node_74,0.0003279460931297106
categorical__node_146,0.00031367426803761007
categorical__node_37,0.00031303810125586445
categorical__node_204,0.0003094041587026077
categorical__node_135,0.0003078204811995379
categorical__node_68,0.0003061450934028858
categorical__node_36,0.0002980393480270934
categorical__node_239,0.0002915218498095171
categorical__node_12,0.00027625052465902024
categorical__node_5,0.0002721592043269263
categorical__node_208,0.0002694329156447689
categorical__node_27,0.00026482721137633346
categorical__node_174,0.0002630536126476475
categorical__node_29,0.00024723594978228255
categorical__node_203,0.00024212963375369622
categorical__node_133,0.0002407581468299997
categorical__node_238,0.00023779985059640458
categorical__node_50,0.00021760239005419392
categorical__node_38,0.0002127961911837909
categorical__node_227,0.0002122021405992609
categorical__node_101,0.0002073413982701151
categorical__node_127,0.0002064867279957308
categorical__node_105,0.00020542615192193587
categorical__node_207,0.0001917501566664833
categorical__node_15,0.00019106011747405918
categorical__node_114,0.0001812527174028578
categorical__node_254,0.0001812421565591326
categorical__node_88,0.00017724254027486685
categorical__node_233,0.00016861452876502665
categorical__node_14,0.00015804198597884066
categorical__node_107,0.00015217099524103943
categorical__node_13,0.00014858185517297568
categorical__node_16,0.00014267476082924978
categorical__node_18,0.0001267920711985101
categorical__node_209,9.786710029205491e-05
categorical__node_75,9.61086271201661e-05
categorical__node_244,9.288100919923155e-05
categorical__node_165,8.677932529460876e-05
categorical__node_184,7.945584320118822e-05
categorical__node_23,7.046081751188935e-05
categorical__node_251,6.497487836729748e-05
categorical__node_164,6.369446722378855e-05
categorical__node_25,5.117411720544355e-05
categorical__node_72,4.8228842446610376e-05
categorical__node_198,4.390607385111585e-05
categorical__node_232,3.9914431601113225e-05
categorical__node_21,3.817908854864319e-05
categorical__node_24,3.142825433157789e-05
categorical__node_20,3.113865761882473e-05
categorical__node_248,2.8942962364772475e-05
categorical__node_85,2.776274208068406e-05
categorical__node_22,2.403041452148243e-05
categorical__node_252,2.26187409057404e-05
categorical__node_240,2.2242213693429246e-05
categorical__node_166,2.0155221560407143e-05
categorical__node_103,1.9367796811506637e-05
categorical__node_249,1.8963783954113988e-05
categorical__node_255,1.8645059883288963e-05
categorical__node_216,1.6759567116550376e-05
categorical__node_122,1.520556786936499e-05
categorical__node_250,1.5121534228300543e-05
categorical__node_67,1.5001558244353739e-05
categorical__node_118,1.4374040796588841e-05
categorical__node_199,1.4104441580078288e-05
categorical__node_235,1.365125765026008e-05
categorical__node_246,1.3076727602591499e-05
categorical__node_55,1.2629571536958181e-05
categorical__node_181,1.243767982560835e-05
categorical__node_26,1.1262139758527864e-05
categorical__node_228,1.0079786472519874e-05
categorical__node_113,9.824942090953884e-06
categorical__node_78,9.675174802800135e-06
categorical__node_243,9.196437163997917e-06
categorical__node_221,9.174911753809019e-06
categorical__node_150,9.12626825079008e-06
categorical__node_196,8.982172631973896e-06
categorical__node_92,8.904119922627987e-06
categorical__node_180,8.801287406703182e-06
categorical__node_51,8.373129444666131e-06
categorical__node_43,8.291913215609917e-06
categorical__node_201,7.965435650578123e-06
categorical__node_247,7.84521797824915e-06
categorical__node_98,7.742110158174123e-06
categorical__node_156,7.602219915834243e-06
categorical__node_81,7.132350990264289e-06
categorical__node_116,7.12258121032354e-06
categorical__node_202,6.87117705311408e-06
categorical__node_158,6.734738891904768e-06
categorical__node_155,6.674629183845829e-06
categorical__node_170,6.5369917069638435e-06
categorical__node_121,6.139922043127765e-06
categorical__node_195,5.922675635858655e-06
categorical__node_57,5.877898438521581e-06
categorical__node_54,5.591490427145042e-06
categorical__node_168,5.38776495144517e-06
categorical__node_175,5.351757194592819e-06
categorical__node_193,5.2449027340051046e-06
categorical__node_145,5.101347418828346e-06
categorical__node_225,5.007833165262745e-06
categorical__node_58,4.935873044645951e-06
categorical__node_188,4.9132746393918316e-06
categorical__node_117,4.907695035603124e-06
categorical__node_242,4.741748156837644e-06
categorical__node_95,4.524606178197815e-06
categorical__node_190,4.480330522958038e-06
categorical__node_119,4.3860358411016904e-06
categorical__node_62,4.1449254487674134e-06
categorical__node_39,4.0721824994912595e-06
categorical__node_46,4.031766171544635e-06
categorical__node_69,4.00312788032179e-06
categorical__node_41,3.886391412305124e-06
categorical__node_47,3.8457837015237295e-06
categorical__node_52,3.7654082162887727e-06
categorical__node_212,3.71793832072432e-06
categorical__node_176,3.666398243290546e-06
categorical__node_106,3.324304450396734e-06
categorical__node_130,3.2077798849972795e-06
categorical__node_60,3.056996598676387e-06
categorical__node_28,3.038355485270936e-06
categorical__node_111,2.4261835801262345e-06
categorical__node_186,2.391395896628536e-06
categorical__node_182,2.3044952949257954e-06
categorical__node_138,2.277708065977934e-06
categorical__node_42,2.157399696069507e-06
categorical__node_31,2.136188600569791e-06
categorical__node_159,2.0854806771445037e-06
categorical__node_115,2.0298361003383834e-06
categorical__node_49,1.9711426684896315e-06
categorical__node_131,1.9590624028901607e-06
categorical__node_179,1.8286485058194998e-06
categorical__node_189,1.6271427591128695e-06
categorical__node_63,1.5435833146474205e-06
categorical__node_83,1.4614943941014323e-06
categorical__node_236,1.312577838520557e-06
categorical__node_132,1.2903505663160337e-06
categorical__node_222,1.2405411711255538e-06
categorical__node_143,1.0968632146250553e-06
categorical__node_126,6.69952810419323e-07
categorical__node_134,6.046723727663244e-07
categorical__node_45,5.996976855137415e-07
categorical__node_149,5.185004979211243e-07
categorical__node_213,4.471771771225735e-15
categorical__node_124,2.202061776498432e-16
numeric__missing_status_jobs,0.0
categorical__node_30,0.0
